         16709981 function calls (15665525 primitive calls) in 593.557 seconds

   Ordered by: cumulative time, internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    77906    0.131    0.000    0.143    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/autograd/grad_mode.py:75(__init__)
    25600    0.143    0.000    0.143    0.000 {method 'reshape' of 'torch._C.TensorBase' objects}
1900/1853    0.028    0.000    0.140    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.139    0.139 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/utils/_triton.py:6(has_triton_package)
        1    0.000    0.000    0.139    0.139 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/triton/__init__.py:1(<module>)
      100    0.001    0.000    0.138    0.001 <__array_function__ internals>:177(argsort)
      200    0.000    0.000    0.137    0.001 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
     6022    0.008    0.000    0.137    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/yaml/emitter.py:111(emit)
      100    0.001    0.000    0.137    0.001 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1038(argsort)
        1    0.000    0.000    0.137    0.137 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/sympy/polys/__init__.py:1(<module>)
        1    0.000    0.000    0.136    0.136 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/triton/runtime/__init__.py:1(<module>)
        1    0.000    0.000    0.136    0.136 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/triton/runtime/autotuner.py:1(<module>)
      100    0.135    0.001    0.135    0.001 {method 'argsort' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.135    0.135 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/triton/testing.py:1(<module>)
        1    0.000    0.000    0.135    0.135 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/triton/language/__init__.py:1(<module>)
    18600    0.135    0.000    0.135    0.000 {built-in method torch.log2}
      100    0.002    0.000    0.134    0.001 /root/project/Soter/transformer/Optim.py:21(zero_grad)
   299461    0.093    0.000    0.134    0.000 {built-in method builtins.getattr}
      100    0.002    0.000    0.131    0.001 /root/anaconda3/envs/accelergy/lib/python3.8/threading.py:834(start)
      101    0.001    0.000    0.131    0.001 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/_dynamo/eval_frame.py:596(_fn)
      100    0.066    0.001    0.129    0.001 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/optim/optimizer.py:911(zero_grad)
      818    0.001    0.000    0.128    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
       97    0.128    0.001    0.128    0.001 {method 'uniform_' of 'torch._C.TensorBase' objects}
    49600    0.056    0.000    0.126    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/multiprocessing/popen_fork.py:24(poll)
      818    0.125    0.000    0.125    0.000 {built-in method marshal.loads}
      100    0.001    0.000    0.124    0.001 /root/anaconda3/envs/accelergy/lib/python3.8/threading.py:540(wait)
        1    0.000    0.000    0.123    0.123 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/nn/modules/module.py:1052(to)
    111/1    0.002    0.000    0.123    0.123 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/nn/modules/module.py:777(_apply)
     4800    0.075    0.000    0.121    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/_tensor.py:964(__rdiv__)
    12800    0.120    0.000    0.120    0.000 {built-in method torch.log}
       81    0.000    0.000    0.120    0.001 /root/anaconda3/envs/accelergy/lib/python3.8/site-packages/torch/nn/modules/module.py:1151(convert)
   942669    0.118    0.000    0.118    0.000 {method 'append' of 'list' objects}
      100    0.013    0.000    0.117    0.001 /root/anaconda3/envs/accelergy/lib/python3.8/threading.py:761(__init__)
    12805    0.016    0.000    0.113    0.000 /root/anaconda3/envs/accelergy/lib/python3.8/posixpath.py:372(abspath)
